,product_link,product_name,name_dimension,body_dimension
0,https://www.1mg.com/otc/gemcal-soft-gelatin-capsule-otc150422,Gemcal Soft Gelatin Capsule,"{'x': 283, 'y': 304, 'height': 63, 'width': 218}","{'x': 0, 'y': 0, 'height': 6081, 'width': 785}"
1,https://www.1mg.com/otc/evion-600mg-capsule-otc36992,Evion 600mg Capsule,"{'x': 283, 'y': 304, 'height': 63, 'width': 218}","{'x': 0, 'y': 0, 'height': 7372, 'width': 785}"
2,https://www.1mg.com/otc/pure-nutrition-vitamin-c-tablet-otc577636,Pure Nutrition Vitamin C Tablet,"{'x': 283, 'y': 304, 'height': 63, 'width': 218}","{'x': 0, 'y': 0, 'height': 4915, 'width': 785}"
3,https://www.1mg.com/otc/matilda-forte-capsule-otc345250,Matilda Forte Capsule,"{'x': 283, 'y': 304, 'height': 63, 'width': 218}","{'x': 0, 'y': 0, 'height': 5897, 'width': 785}"
4,https://www.1mg.com/otc/hairbless-tablet-otc120106,Hairbless Tablet,"{'x': 283, 'y': 304, 'height': 31, 'width': 218}","{'x': 0, 'y': 0, 'height': 7069, 'width': 785}"
5,https://www.1mg.com/otc/nurokind-od-tablet-otc188384,Nurokind-OD Tablet,"{'x': 283, 'y': 304, 'height': 31, 'width': 218}","{'x': 0, 'y': 0, 'height': 5593, 'width': 785}"
6,https://www.1mg.com/otc/terravita-skin-vitamins-vegetarian-tablet-otc687181,Terravita Skin Vitamins Vegetarian Tablet,"{'x': 283, 'y': 304, 'height': 94, 'width': 218}","{'x': 0, 'y': 0, 'height': 4149, 'width': 785}"
7,https://www.1mg.com/otc/calcimax-forte-tablet-otc114769,Calcimax Forte+ Tablet,"{'x': 283, 'y': 304, 'height': 63, 'width': 218}","{'x': 0, 'y': 0, 'height': 6011, 'width': 785}"
8,https://www.1mg.com/otc/antoxid-hc-capsule-otc63354,Antoxid -HC Capsule,"{'x': 283, 'y': 304, 'height': 31, 'width': 218}","{'x': 0, 'y': 0, 'height': 5785, 'width': 785}"
9,https://www.1mg.com/otc/revital-h-capsule-otc66303,Revital H Capsule,"{'x': 283, 'y': 304, 'height': 31, 'width': 218}","{'x': 0, 'y': 0, 'height': 6477, 'width': 785}"
10,https://www.1mg.com/otc/zingavita-mighty-vitamins-gummies-for-kids-strawberry-and-lemon-otc617742,Zingavita Mighty Vitamins Gummies for Kids Strawberry and Lemon,"{'x': 283, 'y': 321, 'height': 126, 'width': 218}","{'x': 0, 'y': 0, 'height': 6703, 'width': 785}"
11,https://www.1mg.com/otc/supracal-tablet-otc66696,Supracal Tablet,"{'x': 283, 'y': 304, 'height': 31, 'width': 218}","{'x': 0, 'y': 0, 'height': 5817, 'width': 785}"
12,https://www.1mg.com/otc/dexorange-capsule-otc156242,Dexorange Capsule,"{'x': 283, 'y': 304, 'height': 31, 'width': 218}","{'x': 0, 'y': 0, 'height': 5557, 'width': 785}"
13,https://www.1mg.com/otc/livogen-z-captab-otc135128,Livogen-Z Captab,"{'x': 283, 'y': 304, 'height': 31, 'width': 218}","{'x': 0, 'y': 0, 'height': 5587, 'width': 785}"
14,https://www.1mg.com/otc/wellbeing-nutrition-melts-into-multi-vitamins-oral-thin-strip-sugar-free-otc679453,Wellbeing Nutrition Melts Into Multi Vitamins Oral Thin Strip Sugar Free,"{'x': 283, 'y': 304, 'height': 126, 'width': 218}","{'x': 0, 'y': 0, 'height': 4792, 'width': 785}"
15,https://www.1mg.com/drugs/nurokind-plus-rf-capsule-176207,Nurokind-Plus RF Capsule,"{'x': 181, 'y': 255, 'height': 79, 'width': 172}","{'x': 0, 'y': 0, 'height': 9728, 'width': 785}"
16,https://www.1mg.com/otc/keraglo-eva-tablet-otc138295,Keraglo Eva Tablet,"{'x': 283, 'y': 304, 'height': 31, 'width': 218}","{'x': 0, 'y': 0, 'height': 6330, 'width': 785}"
17,https://www.1mg.com/otc/bio-d3-max-soft-gelatin-capsule-otc547836,Bio-D3 Max Soft Gelatin Capsule,"{'x': 283, 'y': 304, 'height': 63, 'width': 218}","{'x': 0, 'y': 0, 'height': 5859, 'width': 785}"
18,https://www.1mg.com/otc/dr.-morepen-daily-e-vitamin-e-softgel-otc660679,Dr. Morepen Daily-E Vitamin E Softgel,"{'x': 283, 'y': 304, 'height': 63, 'width': 218}","{'x': 0, 'y': 0, 'height': 5094, 'width': 785}"
19,https://www.1mg.com/drugs/methycobal-tablet-330401,Methycobal Tablet,"{'x': 181, 'y': 255, 'height': 79, 'width': 172}","{'x': 0, 'y': 0, 'height': 9994, 'width': 785}"
20,https://www.1mg.com/otc/autrin-capsule-otc63464,Autrin Capsule,"{'x': 283, 'y': 304, 'height': 31, 'width': 218}","{'x': 0, 'y': 0, 'height': 5771, 'width': 785}"
21,https://www.1mg.com/otc/mgd3-tablet-otc328664,MGD3 Tablet,"{'x': 283, 'y': 304, 'height': 31, 'width': 218}","{'x': 0, 'y': 0, 'height': 5781, 'width': 785}"
22,https://www.1mg.com/otc/zingavita-strong-immunity-multivitamin-gummies-for-kids-with-blueberry-elderberry-tangy-mango-otc617782,Zingavita Strong Immunity Multivitamin Gummies for kids (with Blueberry & Elderberry) Tangy Mango,"{'x': 283, 'y': 321, 'height': 220, 'width': 218}","{'x': 0, 'y': 0, 'height': 6629, 'width': 785}"
23,https://www.1mg.com/otc/keraglo-men-tablet-otc180581,Keraglo Men Tablet,"{'x': 283, 'y': 304, 'height': 31, 'width': 218}","{'x': 0, 'y': 0, 'height': 5729, 'width': 785}"
24,https://www.1mg.com/otc/calcimax-500-tablet-otc114767,Calcimax 500 Tablet,"{'x': 283, 'y': 304, 'height': 31, 'width': 218}","{'x': 0, 'y': 0, 'height': 6141, 'width': 785}"
25,https://www.1mg.com/otc/caldikind-plus-soft-gelatin-capsule-otc63670,Caldikind Plus Soft Gelatin Capsule,"{'x': 283, 'y': 304, 'height': 63, 'width': 218}","{'x': 0, 'y': 0, 'height': 5327, 'width': 785}"
