,product_link,product_name,name_dimension,body_dimension
0,https://www.gonoise.com/products/noise-colorfit-ultra-2-smart-watch,ColorFit Ultra 2,"{'x': 0, 'y': 2075, 'height': 62, 'width': 785}","{'x': 0, 'y': 0, 'height': 9948, 'width': 785}"
1,https://in.puma.com/in/en/pd/star-vital-mens-running-shoes/194323.html?dwvar_194323_color=12,Star Vital Men's Running Shoes,"{'x': 124, 'y': 1005, 'height': 40, 'width': 537}","{'x': 0, 'y': 0, 'height': 5076, 'width': 785}"
2,https://rog.asus.com/in/laptops/rog-strix/2021-rog-strix-g17-series/,ROG Strix G17 G713,"{'x': 40, 'y': 70, 'height': 24, 'width': 360}","{'x': 0, 'y': 0, 'height': 22044, 'width': 800}"
3,https://www.1mg.com/otc/tata-1mg-immunity-wellness-supplement-tablet-otc702915,Tata 1mg Immunity & Wellness Supplement Tablet,"{'x': 283, 'y': 339, 'height': 94, 'width': 218}","{'x': 0, 'y': 0, 'height': 7820, 'width': 785}"
4,https://himalayawellness.in/products/purifying-neem-face-wash,Purifying Neem Face Wash,"{'x': 418, 'y': 423, 'height': 34, 'width': 358}","{'x': 0, 'y': 0, 'height': 5322, 'width': 785}"
5,https://pharmeasy.in/health-care/products/hi-life-multi-layered-kn95-mask--single-pack-3520787,Hi Life Multi Layered Kn95 Mask- Single Pack,"{'x': 305, 'y': 165, 'height': 30, 'width': 344}","{'x': 0, 'y': 0, 'height': 4221, 'width': 785}"
6,https://www.woodlandworldwide.com/collections/men/footwear/sandals/pr-thrill-seekers-camel-camel-13844/13844?color=c7a479&size=,THRILL SEEKERS CAMEL,"{'x': 30, 'y': 783, 'height': 20, 'width': 735}","{'x': 0, 'y': 0, 'height': 2255, 'width': 795}"
7,https://www.bajajfinservmarkets.in/emi-store/oppo-f21-pro-5g-128-gb-storage-rainbow-spectrum-8-gb-ram.html,Oppo F21 Pro 5G 128 GB Storage Rainbow Spectrum (8 GB RAM),"{'x': 20, 'y': 662, 'height': 19, 'width': 467}","{'x': 0, 'y': 0, 'height': 5226, 'width': 795}"
8,https://www.lg.com/in/washing-machines/lg-t65sksf4z,LG 6.5 kg 5 Star Inverter Fully Automatic Top Load Washing Machine Silver  (T65SKSF4Z),"{'x': 452, 'y': 278, 'height': 84, 'width': 303}","{'x': 0, 'y': 0, 'height': 9488, 'width': 785}"
9,https://www.bata.in/bata-sneaker-for-men-500_0BA8588183202F.html?dwvar_500__0BA8588183202F_color=904,BATA NAVY SNEAKER FOR MEN,"{'x': 432, 'y': 297, 'height': 60, 'width': 338}","{'x': 0, 'y': 0, 'height': 2668, 'width': 785}"
10,https://www.sangeethamobiles.com/product-details/oneplus-9-pro-pine-green-12gb-ram-256gb-storage/MOBR8KKVCGNMSKDQ,OnePlus 9 Pro (Pine Green 12GB RAM 256GB Storage),"{'x': 348, 'y': 221, 'height': 56, 'width': 390}","{'x': 0, 'y': 0, 'height': 600, 'width': 785}"
11,https://www.sony.co.in/electronics/televisions/a80j-series,A80J | BRAVIA XR | OLED | 4K Ultra HD | High Dynamic Range (HDR) | Smart TV (Google TV),"{'x': 175, 'y': 1000, 'height': 44, 'width': 321}","{'x': 0, 'y': 0, 'height': 22432, 'width': 785}"
12,https://www.samsung.com/in/tablets/galaxy-tab-s/galaxy-tab-s8-ultra-wifi-graphite-256gb-sm-x900nzaeinu/,Galaxy Tab S8 Ultra (Wi-Fi),"{'x': 0, 'y': 56, 'height': 49, 'width': 343}","{'x': 0, 'y': 0, 'height': 29340, 'width': 785}"
13,https://www.dell.com/en-in/work/shop/shop-all-deals/vostro-3510-laptop-best-seller/spd/vostro-15-3510-laptop/bts-icc-d584005win8sbo,Service Unavailable - DNS failure,"{'x': 8, 'y': 8, 'height': 37, 'width': 784}","{'x': 8, 'y': 8, 'height': 576, 'width': 784}"
