,product_link,product_name,name_dimension,body_dimension
0,https://www.bewakoof.com/p/hope-street-oversized-fit-t-shirt,Men's Yellow Hope Street Typography Oversized T-shirt,"{'x': 415, 'y': 176, 'height': 48, 'width': 343}","{'x': 0, 'y': 85, 'height': 1601, 'width': 800}"
1,https://www.bewakoof.com/p/hangin-astronaut-half-sleeve-t-shirt-men,Men's Black Hangin Astronaut Graphic Printed T-shirt,"{'x': 415, 'y': 176, 'height': 48, 'width': 343}","{'x': 0, 'y': 85, 'height': 1601, 'width': 800}"
2,https://www.bewakoof.com/p/men-yellowtail-stripe-t-shirt-men,Men's Birthday Yellow Stripe T-shirt,"{'x': 415, 'y': 162, 'height': 28, 'width': 343}","{'x': 0, 'y': 85, 'height': 1594, 'width': 800}"
3,https://www.bewakoof.com/p/hangin-astronaut-half-sleeve-t-shirt,Men's Blue Hangin Astronaut Graphic Printed T-shirt,"{'x': 415, 'y': 176, 'height': 48, 'width': 343}","{'x': 0, 'y': 85, 'height': 1601, 'width': 800}"
4,https://www.bewakoof.com/p/flower-nhi-fire-hai-mai-men,Men's Black Flower Nahi Fire Hai Mai Back Printed Plus Size Relaxed Fit T-shirt,"{'x': 415, 'y': 176, 'height': 48, 'width': 343}","{'x': 0, 'y': 85, 'height': 1599, 'width': 800}"
5,https://www.bewakoof.com/p/guts-half-sleeve-t-shirt,Men's White Guts Graphic Printed T-shirt,"{'x': 415, 'y': 162, 'height': 28, 'width': 343}","{'x': 0, 'y': 85, 'height': 1567, 'width': 800}"
6,https://www.bewakoof.com/p/avengers-broken-logo-men,Men's Red Avengers Printed T-shirt,"{'x': 415, 'y': 162, 'height': 28, 'width': 343}","{'x': 0, 'y': 85, 'height': 1618, 'width': 800}"
7,https://www.bewakoof.com/p/guts-half-sleeve-t-shirt-men,Men's Blue Guts Graphic Printed T-shirt,"{'x': 415, 'y': 162, 'height': 28, 'width': 343}","{'x': 0, 'y': 85, 'height': 1567, 'width': 800}"
8,https://www.bewakoof.com/p/pageant-blue-long-sleeve-henley-t-shirt,Men's Pageant Blue Full Sleeve Henley T-shirt,"{'x': 415, 'y': 176, 'height': 48, 'width': 343}","{'x': 0, 'y': 85, 'height': 1615, 'width': 800}"
9,https://www.bewakoof.com/p/mens-my-hero-academia-apple-cut-t-shirt,Men's Black Anime Printed Apple Cut T-shirt,"{'x': 415, 'y': 162, 'height': 48, 'width': 343}","{'x': 0, 'y': 85, 'height': 1007, 'width': 800}"
10,https://www.bewakoof.com/custom-design?pid=443948,Log in / Sign up,"{'x': 415, 'y': 99, 'height': 24, 'width': 370}","{'x': 0, 'y': 79, 'height': 599, 'width': 800}"
11,https://www.bewakoof.com/p/aua-sky-long-sleeve-henley-t-shirt-men-blue,Men's Aua Sky Full Sleeve Henley T-shirt,"{'x': 415, 'y': 162, 'height': 28, 'width': 343}","{'x': 0, 'y': 85, 'height': 1581, 'width': 800}"
12,https://www.bewakoof.com/p/winter-soldier,Men's Black Winter Soldier Graphic Printed Oversized Fit T-shirt,"{'x': 415, 'y': 197, 'height': 48, 'width': 343}","{'x': 0, 'y': 85, 'height': 1620, 'width': 800}"
13,https://www.bewakoof.com/p/chibi-iron-oversized-fit-t-shirt,Men's Pink Chibi Iron Back Graphic Printed Oversized T-shirt,"{'x': 415, 'y': 176, 'height': 48, 'width': 343}","{'x': 0, 'y': 85, 'height': 1628, 'width': 800}"
14,https://www.bewakoof.com/p/deep-teal-mens-solid-jogger-men-blue,Men's Blue Pocket Joggers,"{'x': 415, 'y': 162, 'height': 28, 'width': 343}","{'x': 0, 'y': 85, 'height': 987, 'width': 800}"
15,https://www.bewakoof.com/p/funk-peace-full-sleeve-t-shirt-bold-red,Funk Peace Full Sleeve T-Shirt Bold Red,"{'x': 415, 'y': 162, 'height': 28, 'width': 343}","{'x': 0, 'y': 85, 'height': 1665, 'width': 800}"
16,https://www.bewakoof.com/p/captain-america-broken-logo-men-t-shirt,Men's Black Captain America Broken Logo T-shirt,"{'x': 415, 'y': 162, 'height': 48, 'width': 343}","{'x': 0, 'y': 85, 'height': 1007, 'width': 800}"
17,https://www.bewakoof.com/p/sacrifice89,Sacrifice Men's Full Sleeve T-shirt,"{'x': 415, 'y': 162, 'height': 28, 'width': 343}","{'x': 0, 'y': 85, 'height': 1618, 'width': 800}"
18,https://www.bewakoof.com/p/the-joker,Men's The Joker Half Sleeve T-shirt,"{'x': 415, 'y': 183, 'height': 28, 'width': 343}","{'x': 0, 'y': 85, 'height': 1639, 'width': 800}"
19,https://www.bewakoof.com/p/insta-story107,Insta Story Men's Full Sleeve T-shirt,"{'x': 415, 'y': 162, 'height': 28, 'width': 343}","{'x': 0, 'y': 85, 'height': 1618, 'width': 800}"
20,https://www.bewakoof.com/p/mens-quirky-camo-aop-t-shirt,Men's Sun-Kissed Green Camo Oversized Fit T-shirt,"{'x': 415, 'y': 162, 'height': 48, 'width': 343}","{'x': 0, 'y': 85, 'height': 1640, 'width': 800}"
