,product_link,product_name,name_dimension,body_dimension
0,https://www.decathlon.in/p/8547823/fitness-shorts/men-gym-shorts-polyester-with-zip-pockets-fst-120-black,Men Gym Shorts Polyester With Zip Pockets FST 120 Black,"{'x': 35, 'y': 967, 'height': 19, 'width': 715}","{'x': 0, 'y': 0, 'height': 6124, 'width': 785}"
1,https://www.decathlon.in/p/8558330/boys-swimming-costumes/boy-swimming-full-body-suit-combi-100-mask-blue,Boy Swimming Full Body Suit Combi 100 Mask Blue,"{'x': 35, 'y': 967, 'height': 19, 'width': 715}","{'x': 0, 'y': 0, 'height': 5730, 'width': 785}"
2,https://www.decathlon.in/p/8351755/jogging-shoes/men-s-running-shoes-run-100-grey,Men's Running Shoes Run 100 - GREY,"{'x': 35, 'y': 967, 'height': 19, 'width': 715}","{'x': 0, 'y': 0, 'height': 5791, 'width': 785}"
3,https://www.decathlon.in/p/8544002/gym-wear-for-men/men-s-cotton-gym-pants-regular-fit-100-grey,Men's Cotton Gym Pants Regular fit 100 - Grey,"{'x': 35, 'y': 967, 'height': 19, 'width': 715}","{'x': 0, 'y': 0, 'height': 5901, 'width': 785}"
4,https://www.decathlon.in/p/8297562/men-s-sandals/men-s-hiking-sandals-nh100-beige,Men's Hiking Sandals NH100 - Beige,"{'x': 35, 'y': 967, 'height': 19, 'width': 715}","{'x': 0, 'y': 0, 'height': 6081, 'width': 785}"
5,https://www.decathlon.in/p/8486177/walking-shoes-for-men/pw-100-men-walking-shoes-grey,PW 100 Men Walking Shoes - Grey,"{'x': 35, 'y': 967, 'height': 19, 'width': 715}","{'x': 0, 'y': 0, 'height': 5627, 'width': 785}"
6,https://www.decathlon.in/p/8740690/winter-jackets-and-down-jackets/men-s-trekking-padded-jacket-mt-50-black,Men's Trekking Padded Jacket MT-50 Black,"{'x': 35, 'y': 967, 'height': 19, 'width': 715}","{'x': 0, 'y': 0, 'height': 6134, 'width': 785}"
7,https://www.decathlon.in/p/8534437/perfly-rackets/adult-badminton-racket-br-100-set-starter-blue-red,Adult Badminton Racket BR 100 Set Starter- Blue Red,"{'x': 35, 'y': 967, 'height': 19, 'width': 715}","{'x': 0, 'y': 0, 'height': 5546, 'width': 785}"
8,https://www.decathlon.in/p/8642045/women-s-cotton-yoga-clothing/women-s-gentle-yoga-t-shirt-rosewood-mandala,Women Yoga Cotton T-Shirt - Rosewood Mandala,"{'x': 35, 'y': 967, 'height': 19, 'width': 715}","{'x': 0, 'y': 0, 'height': 6028, 'width': 785}"
9,https://www.decathlon.in/p/8569508/fleeces-and-sweaters/women-hiking-fleece-full-zip-mh120-light-grey,Women Hiking Fleece Full-Zip MH120 Light Grey,"{'x': 35, 'y': 967, 'height': 19, 'width': 715}","{'x': 0, 'y': 0, 'height': 6215, 'width': 785}"
10,https://www.decathlon.in/p/8610944/men-s-track-pants/men-s-cricket-straight-fit-trouser-cts-500-black,MEN'S CRICKET STRAIGHT FIT TROUSER CTS 500 BLACK,"{'x': 35, 'y': 967, 'height': 19, 'width': 715}","{'x': 0, 'y': 0, 'height': 6137, 'width': 785}"
11,https://www.decathlon.in/p/8397881/football-boots/men-s-football-boots-agility-100-fg-black,Men's Football Boots Agility 100 FG - Black,"{'x': 35, 'y': 967, 'height': 19, 'width': 715}","{'x': 0, 'y': 0, 'height': 5686, 'width': 785}"
12,https://www.decathlon.in/p/8518949/men-swimming-costumes/men-s-surfing-uv-rash-guard-500-long-sleeve-black,Men's Surfing UV Rash Guard 500 Long Sleeve Black,"{'x': 35, 'y': 967, 'height': 19, 'width': 715}","{'x': 0, 'y': 0, 'height': 6199, 'width': 785}"
13,https://www.decathlon.in/p/8573148/men-s-t-shirts/men-tennis-t-shirt-100-navy-blue,Men Tennis T-Shirt 100 - Navy Blue,"{'x': 35, 'y': 967, 'height': 19, 'width': 715}","{'x': 0, 'y': 0, 'height': 6227, 'width': 785}"
14,https://www.decathlon.in/p/8403098/kids-shoes/kids-walking-shoes-pw-100-grey-pink,Kids' Walking Shoes PW 100 - Grey/Pink,"{'x': 35, 'y': 967, 'height': 19, 'width': 715}","{'x': 0, 'y': 0, 'height': 6162, 'width': 785}"
