,product_link,product_name,body_dimension,pname_dimension
0,https://www.flipkart.com/dell-core-i7-11th-gen-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-ti-g15-5511-gaming-laptop/p/itm92d5dd5847b38?pid=COMGBHZBHNRMFBQT&lid=LSTCOMGBHZBHNRMFBQTLULHHU&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_br05wX%2FAaXU8anReOthd2ANr7S2ekfF5hsAvUqhTy1n%2BBsvdJqikS3x8hvptuO451zHek9OOGwp%2F3BwWW9hzUA%3D%3D&ppt=None&ppn=None&ssid=1nvo706auo0000001649357893749&qH=312f91285e048e09,"DELL Core i7 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050 Ti) G15-5511 Gaming Laptop (15.6 inch, Dark Shadow Grey, 2.65 Kg, With MS Office)","{'x': 0, 'y': 96, 'height': 2222, 'width': 1128}","{'x': 461, 'y': 138, 'height': 76, 'width': 651}"
1,https://www.flipkart.com/dell-ryzen-7-octa-core-5800h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-ti-g15-5515-gaming-laptop/p/itmd45802d35a14f?pid=COMGBHZB5AMUJ6DA&lid=LSTCOMGBHZB5AMUJ6DABLHEEY&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_br05wX%2FAaXU8anReOthd2ANr7S2ekfF5hsAvUqhTy1nqIrfLvJGUdzKmEiD%2Bdev3xxvdv82Cvq%2ForvWlHrp9dQ%3D%3D&ppt=None&ppn=None&ssid=1nvo706auo0000001649357893749&qH=312f91285e048e09,"DELL Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050 Ti) G15-5515 Gaming Laptop (15.6 inch, Phantom Grey with speckles, 2.57 Kg, With MS Office)","{'x': 0, 'y': 96, 'height': 2222, 'width': 1128}","{'x': 461, 'y': 138, 'height': 76, 'width': 651}"
2,https://www.flipkart.com/hp-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-15s-fq2629tu-thin-light-laptop/p/itm00019d89927f7?pid=COMGBH9JZ4ZFH9GH&lid=LSTCOMGBH9JZ4ZFH9GHN7FV3Q&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=9a727918-156d-464b-849a-009aaa91ede5.COMGBH9JZ4ZFH9GH.SEARCH&ppt=None&ppn=None&ssid=1nvo706auo0000001649357893749&qH=312f91285e048e09,"HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq2629TU Thin and Light Laptop (15.6 inch, Natural Silver, 1.69 KG, With MS Office)","{'x': 0, 'y': 96, 'height': 4500, 'width': 1128}","{'x': 461, 'y': 138, 'height': 50, 'width': 651}"
3,https://www.flipkart.com/lenovo-ideapad-3-core-i3-10th-gen-8-gb-256-gb-ssd-windows-11-home-15iml05-thin-light-laptop/p/itmd1871bfcde765?pid=COMG6AKVAHWTHAQG&lid=LSTCOMG6AKVAHWTHAQGXUICJF&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=9a727918-156d-464b-849a-009aaa91ede5.COMG6AKVAHWTHAQG.SEARCH&ppt=None&ppn=None&ssid=1nvo706auo0000001649357893749&qH=312f91285e048e09,"Lenovo IdeaPad 3 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) 15IML05 Thin and Light Laptop (15.6 Inch, Platinum Grey, 1.7 kg, With MS Office)","{'x': 0, 'y': 96, 'height': 5191, 'width': 1128}","{'x': 461, 'y': 138, 'height': 50, 'width': 651}"
4,https://www.flipkart.com/hp-pavilion-ryzen-5-hexa-core-5600h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-144-hz-15-ec2004ax-gaming-laptop/p/itm98c94bbf9bc20?pid=COMG5GZXPWMGTNWS&lid=LSTCOMG5GZXPWMGTNWSQE9WVW&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=9a727918-156d-464b-849a-009aaa91ede5.COMG5GZXPWMGTNWS.SEARCH&ppt=None&ppn=None&ssid=1nvo706auo0000001649357893749&qH=312f91285e048e09,"HP Pavilion Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/144 Hz) 15-ec2004AX Gaming Laptop (15.6 inch, Shadow Black, 1.98 kg)","{'x': 0, 'y': 96, 'height': 5136, 'width': 1128}","{'x': 461, 'y': 138, 'height': 76, 'width': 651}"
5,https://www.flipkart.com/msi-gf63-thin-core-i5-10th-gen-8-gb-512-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-rtx-3050-144-hz-10uc-607in-gaming-laptop/p/itm92565651dc3ed?pid=COMG5AWT9CKRMEFU&lid=LSTCOMG5AWT9CKRMEFUII4XPL&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=9a727918-156d-464b-849a-009aaa91ede5.COMG5AWT9CKRMEFU.SEARCH&ppt=None&ppn=None&ssid=1nvo706auo0000001649357893749&qH=312f91285e048e09,"MSI GF63 Thin Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/144 Hz) GF63 Thin 10UC-607IN Gaming Laptop (15.6 inch, Black, 1.86 kg)","{'x': 0, 'y': 96, 'height': 5378, 'width': 1128}","{'x': 461, 'y': 138, 'height': 76, 'width': 651}"
6,https://www.flipkart.com/infinix-inbook-x1-core-i3-10th-gen-8-gb-256-gb-ssd-windows-11-home-xl11-thin-light-laptop/p/itm3afd453798d31?pid=COMG8Z3H5HDHFPHQ&lid=LSTCOMG8Z3H5HDHFPHQSWUHWZ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=9a727918-156d-464b-849a-009aaa91ede5.COMG8Z3H5HDHFPHQ.SEARCH&ppt=None&ppn=None&ssid=1nvo706auo0000001649357893749&qH=312f91285e048e09,"Infinix INBook X1 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL11 Thin and Light Laptop (14 inch, Starfall Grey, 1.48 kg)","{'x': 0, 'y': 96, 'height': 5175, 'width': 1128}","{'x': 461, 'y': 138, 'height': 50, 'width': 651}"
7,https://www.flipkart.com/msi-core-i5-11th-gen-8-gb-512-gb-ssd-windows-10-home-modern-14-b11mou-861in-thin-light-laptop/p/itm6499f3fed340a?pid=COMG8CXWKPFY3CCT&lid=LSTCOMG8CXWKPFY3CCTGTVFCE&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_br05wX%2FAaXU8anReOthd2ANr7S2ekfF5hsAvUqhTy1mOIuDM%2B97IsvUzEMWX7i55AEZzKiMnyFF9AEHaHJO%2BqQ%3D%3D&ppt=None&ppn=None&ssid=1nvo706auo0000001649357893749&qH=312f91285e048e09,"MSI Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) Modern 14 B11MOU-861IN Thin and Light Laptop (14 inch, Carbon Gray, 1.3 kg)","{'x': 0, 'y': 96, 'height': 3472, 'width': 1128}","{'x': 461, 'y': 138, 'height': 50, 'width': 651}"
8,https://www.flipkart.com/asus-celeron-dual-core-4-gb-1-tb-hdd-windows-10-home-x543ma-gq1015t-laptop/p/itmf8811674edbeb?pid=COMFSKF9UQH8RKYF&lid=LSTCOMFSKF9UQH8RKYFGDW2VH&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=9a727918-156d-464b-849a-009aaa91ede5.COMFSKF9UQH8RKYF.SEARCH&ppt=None&ppn=None&ssid=1nvo706auo0000001649357893749&qH=312f91285e048e09,"ASUS Celeron Dual Core - (4 GB/1 TB HDD/Windows 10 Home) X543MA-GQ1015T Laptop (15.6 inch, Transparent Silver, 1.9 kg)","{'x': 0, 'y': 96, 'height': 5012, 'width': 1128}","{'x': 461, 'y': 138, 'height': 50, 'width': 651}"
9,https://www.flipkart.com/asus-vivobook-14-pentium-silver-4-gb-256-gb-ssd-windows-11-home-x415ka-ek111ws-thin-light-laptop/p/itmeed292d4767e4?pid=COMGB6DZNPPJHUVV&lid=LSTCOMGB6DZNPPJHUVV0C5AXS&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=9a727918-156d-464b-849a-009aaa91ede5.COMGB6DZNPPJHUVV.SEARCH&ppt=None&ppn=None&ssid=1nvo706auo0000001649357893749&qH=312f91285e048e09,"ASUS VivoBook 14 Pentium Silver - (4 GB/256 GB SSD/Windows 11 Home) X415KA-EK111WS Thin and Light Laptop (14 Inch, Transparent Silver, 1.50 Kg, With MS Office)","{'x': 0, 'y': 96, 'height': 4066, 'width': 1128}","{'x': 461, 'y': 138, 'height': 76, 'width': 651}"
