,product_link,product_name,body_dimension,pname_dimension
0,https://www.nike.com/in/t/pg-6-ep-basketball-shoes-9KkDtr/DH8447-001,PG 6 EP,"{'x': 0, 'y': 0, 'height': 3095, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
1,https://www.nike.com/in/t/jordan-sport-dna-graphic-t-shirt-1CbScp/DM1456-010,Jordan Sport DNA,"{'x': 0, 'y': 0, 'height': 3037, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
2,https://www.nike.com/in/t/air-max-95-shoes-fk6w0s/DQ3430-001,Nike Air Max 95,"{'x': 0, 'y': 0, 'height': 3702, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
3,https://www.nike.com/in/t/jordan-air-jordan-fleece-hoodie-v3J5HK/DO6094-612,"Jordan ""Air Jordan""","{'x': 0, 'y': 0, 'height': 2930, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
4,https://www.nike.com/in/t/zoom-fly-4-road-running-shoes-rTFHwQ/CT2392-006,Nike Zoom Fly 4,"{'x': 0, 'y': 0, 'height': 3233, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
5,https://www.nike.com/in/t/jordan-essentials-t-shirt-JQXCdV/DM1436-133,Jordan Essentials,"{'x': 0, 'y': 0, 'height': 2957, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
6,https://www.nike.com/in/t/sb-ishod-wair-skate-shoes-gH9qC4/DM0752-002,Nike SB Ishod Wair Premium,"{'x': 0, 'y': 0, 'height': 3076, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
7,https://www.nike.com/in/t/sb-skate-shorts-3qcVQp/DH2940-010,Nike SB,"{'x': 0, 'y': 0, 'height': 2882, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
8,https://www.nike.com/in/t/sb-zoom-blazer-low-pro-gt-skate-shoes-xMq2vr/DM8890-400,Nike SB Zoom Blazer Low Pro GT Premium,"{'x': 0, 'y': 0, 'height': 3020, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
9,https://www.nike.com/in/t/blazer-low-77-jumbo-shoes-mvhvNn/DQ8768-100,Nike Blazer Low '77 Jumbo,"{'x': 0, 'y': 0, 'height': 3048, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
10,https://www.nike.com/in/t/sportswear-woven-jacket-tMC7wB/DV0531-086,Nike Sportswear,"{'x': 0, 'y': 0, 'height': 2930, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
11,https://www.nike.com/in/t/kyrie-infinity-ep-basketball-shoes-QJ01t9/DC9134-102,Kyrie Infinity EP,"{'x': 0, 'y': 0, 'height': 3075, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
