,product_link,product_name,final_price,product_description,name_dimension,final_price_dimension,product_description_location,body_dimension
0,https://in.puma.com/in/en/pd/puma-x-1der-kl-rahul-character-youth-pants/672908.html?dwvar_672908_color=01,PUMA x 1DER KL Rahul Character Youth Pants,"₹2,299","Uber cool with unlimited swag the PUMA x 1DER Men's Character T-Shirt is a must have thispiece features unmissable 1DER branding at the back, t and stylish at the same time....","{'x': 124, 'y': 1005, 'height': 80, 'width': 537}","{'x': 124, 'y': 1093, 'height': 27, 'width': 67}","{'x': 124, 'y': 1901, 'height': 90, 'width': 537}","{'x': 0, 'y': 0, 'height': 5477, 'width': 785}"
1,https://in.puma.com/in/en/pd/puma-x-1der-kl-rahul-character-youth-t-shirt/672906.html?dwvar_672906_color=41,PUMA x 1DER KL Rahul Character Youth T-Shirt,"₹1,299","Uber cool with unlimited swag the PUMA x 1DER Youth Character T-Shirt is a must have this piece features unmissable 1DER branding at the back, t and stylish at the same time...","{'x': 124, 'y': 1005, 'height': 80, 'width': 537}","{'x': 124, 'y': 1093, 'height': 27, 'width': 67}","{'x': 124, 'y': 1901, 'height': 90, 'width': 537}","{'x': 0, 'y': 0, 'height': 5453, 'width': 785}"
2,https://in.puma.com/in/en/pd/puma-x-1der-kl-rahul-character-youth-pants/672908.html?dwvar_672908_color=50,PUMA x 1DER KL Rahul Character Youth Pants,"₹2,299","Uber cool with unlimited swag the PUMA x 1DER Men's Character T-Shirt is a must have thispiece features unmissable 1DER branding at the back, t and stylish at the same time....","{'x': 124, 'y': 1005, 'height': 80, 'width': 537}","{'x': 124, 'y': 1093, 'height': 27, 'width': 67}","{'x': 124, 'y': 1901, 'height': 90, 'width': 537}","{'x': 0, 'y': 0, 'height': 5477, 'width': 785}"
3,https://in.puma.com/in/en/pd/puma-x-1der-kl-rahul-character-youth-t-shirt/672906.html?dwvar_672906_color=50,PUMA x 1DER KL Rahul Character Youth T-Shirt,"₹1,299","Uber cool with unlimited swag the PUMA x 1DER Youth Character T-Shirt is a must have this piece features unmissable 1DER branding at the back, t and stylish at the same time...","{'x': 124, 'y': 1005, 'height': 80, 'width': 537}","{'x': 124, 'y': 1093, 'height': 27, 'width': 67}","{'x': 124, 'y': 1901, 'height': 90, 'width': 537}","{'x': 0, 'y': 0, 'height': 5453, 'width': 785}"
4,https://in.puma.com/in/en/pd/mercedes-amg-petronas-f1-t7-light-mens-track-pants/533604.html?dwvar_533604_color=01,Mercedes AMG Petronas F1 T7 Light Men's Track Pants,"₹4,499","Mercedes-AMG Petronas Motorsport takes track-inspired style up a notch with a sleek, structured design that combines premium functionality with comfort and modern luxury. Feat...","{'x': 124, 'y': 1005, 'height': 80, 'width': 537}","{'x': 124, 'y': 1093, 'height': 27, 'width': 67}","{'x': 124, 'y': 1901, 'height': 90, 'width': 537}","{'x': 0, 'y': 0, 'height': 5557, 'width': 785}"
5,https://in.puma.com/in/en/pd/puma-x-1der-seattle-mens-shoes/387766.html?dwvar_387766_color=03,PUMA x 1DER Seattle Men's Shoes,"₹4,499","The power that the PUMA x 1DER Seattle Shoes hold in itself is unfathomable. Complete with attractive colors, heat pressed overlays combined with PUMA and 1DER branding and th...","{'x': 124, 'y': 1005, 'height': 40, 'width': 537}","{'x': 124, 'y': 1053, 'height': 27, 'width': 67}","{'x': 124, 'y': 1861, 'height': 90, 'width': 537}","{'x': 0, 'y': 0, 'height': 5325, 'width': 785}"
6,https://in.puma.com/in/en/pd/mercedes-amg-petronas-f1-slim-mens-track-jacket/533603.html?dwvar_533603_color=01,Mercedes AMG Petronas F1 Slim Men's Track Jacket,"₹5,999","Track-inspired but redesigned for modern motorsport, this sleek sweat jacket features all the hallmarks of the original, like the side seam panelling and athletic silhouette, ...","{'x': 124, 'y': 1005, 'height': 80, 'width': 537}","{'x': 124, 'y': 1093, 'height': 27, 'width': 67}","{'x': 124, 'y': 1901, 'height': 90, 'width': 537}","{'x': 0, 'y': 0, 'height': 5612, 'width': 785}"
7,https://in.puma.com/in/en/pd/puma-bowling-22.1-mens-cricket-shoes/106669.html?dwvar_106669_color=02,PUMA Bowling 22.1 Men's Cricket Shoes,"₹13,999",The Bowling 22.1 Cricket Shoes mean business when it comes to performance on the pitch. The wider fitting upper features perforations at the forefoot and midfoot for enhanced ...,"{'x': 124, 'y': 1005, 'height': 40, 'width': 537}","{'x': 124, 'y': 1053, 'height': 27, 'width': 79}","{'x': 124, 'y': 1861, 'height': 90, 'width': 537}","{'x': 0, 'y': 0, 'height': 5468, 'width': 785}"
8,https://in.puma.com/in/en/pd/puma-bowling-22.1-mens-cricket-shoes/106669.html?dwvar_106669_color=01,PUMA Bowling 22.1 Men's Cricket Shoes,"₹13,999",The Bowling 22.1 Cricket Shoes mean business when it comes to performance on the pitch. The wider fitting upper features perforations at the forefoot and midfoot for enhanced ...,"{'x': 124, 'y': 1005, 'height': 40, 'width': 537}","{'x': 124, 'y': 1053, 'height': 27, 'width': 79}","{'x': 124, 'y': 1861, 'height': 90, 'width': 537}","{'x': 0, 'y': 0, 'height': 5468, 'width': 785}"
9,https://in.puma.com/in/en/pd/puma-x-1der-kl-rahul-relaxed-mens-t-shirt/672850.html?dwvar_672850_color=62,PUMA x 1DER KL Rahul Relaxed Men's T-Shirt,"₹2,299","One look at the PUMA x 1DER Relaxed Fit Men's T-Shirt gets your style game reeling & heart fleeting, Featuring simple and sleek cutlines like KL Rahul's style and boldness of ...","{'x': 124, 'y': 1005, 'height': 80, 'width': 537}","{'x': 124, 'y': 1093, 'height': 27, 'width': 67}","{'x': 124, 'y': 1901, 'height': 90, 'width': 537}","{'x': 0, 'y': 0, 'height': 5428, 'width': 785}"
10,https://in.puma.com/in/en/pd/puma-x-1der-kl-rahul-relaxed-mens-shorts/672852.html?dwvar_672852_color=33,PUMA x 1DER KL Rahul Relaxed Men's Shorts,"₹3,499","Simple yet stylish, the PUMA x 1DER Men's Shorts is the true amalgamation of PUMA's stylish branding and KL Rahul's sophisticated style. The T7 detailing on the side makes thi...","{'x': 124, 'y': 1005, 'height': 40, 'width': 537}","{'x': 124, 'y': 1053, 'height': 27, 'width': 67}","{'x': 124, 'y': 1861, 'height': 90, 'width': 537}","{'x': 0, 'y': 0, 'height': 5418, 'width': 785}"
11,https://in.puma.com/in/en/pd/puma-x-1der-kl-rahul-design-core-ii-mens-t-shirt/672865.html?dwvar_672865_color=23,PUMA x 1DER KL Rahul Design Core II Men's T-Shirt,"₹1,499","Amp up , strike the style game with the PUMA x 1DER Men's T-Shirt. Featuring minimalistic, sleek design, ribbed neck, and a graphic print that reflects KL Rahul's fun yet soph...","{'x': 124, 'y': 1005, 'height': 80, 'width': 537}","{'x': 124, 'y': 1093, 'height': 27, 'width': 67}","{'x': 124, 'y': 1901, 'height': 90, 'width': 537}","{'x': 0, 'y': 0, 'height': 5483, 'width': 785}"
12,https://in.puma.com/in/en/pd/puma-x-1der-kl-rahul-graphic-mens-shorts/672870.html?dwvar_672870_color=48,PUMA x 1DER KL Rahul Graphic Men's Shorts,"₹2,299","Just lounging or playing sport, amp it up elevate with the PUMA x 1DER KL Rahul Graphic Men's Shorts. Created by PUMA and KL Rahul together, these shorts are lightweight and c...","{'x': 124, 'y': 1005, 'height': 40, 'width': 537}","{'x': 124, 'y': 1053, 'height': 27, 'width': 67}","{'x': 124, 'y': 1861, 'height': 90, 'width': 537}","{'x': 0, 'y': 0, 'height': 5413, 'width': 785}"
13,https://in.puma.com/in/en/pd/puma-x-1der-kl-rahul-design-core-mens-shorts/537824.html?dwvar_537824_color=06,PUMA x 1DER KL Rahul Design Core Men's Shorts,"₹2,499","For the ones who like to keep it casual yet stylish, the PUMA x 1DER Men's Shorts is the one for you. Enveloping PUMA's boldness and KL Rahul's subtle yet fun style, these sho...","{'x': 124, 'y': 1005, 'height': 80, 'width': 537}","{'x': 124, 'y': 1093, 'height': 27, 'width': 67}","{'x': 124, 'y': 1901, 'height': 90, 'width': 537}","{'x': 0, 'y': 0, 'height': 5428, 'width': 785}"
