,product_link,site,product_name,name_dimension,body_dimension
0,https://www.mi.com/global/product/redmi-note-11/,NA,Redmi Note 11,"{'x': 0, 'y': 199, 'height': 60, 'width': 146}","{'x': 0, 'y': 0, 'height': 585, 'width': 785}"
1,https://www.realme.com/in/realme-narzo-10,NA,realme narzo-10,"{'x': 0, 'y': 177, 'height': 1, 'width': 1}","{'x': 0, 'y': 0, 'height': 16233, 'width': 785}"
2,https://www.smartprix.com/mobiles/gionee-g13-pro-ppd19sf7tpv4,NA,Gionee G13 Pro,"{'x': 0, 'y': 110, 'height': 41, 'width': 696}","{'x': 0, 'y': 0, 'height': 585, 'width': 785}"
3,https://www.sangeethamobiles.com/product-details/realme-laptop-i3-8gb-256gb-rmnb1001/ACCQCFK9GQX67GJZ,NA,Realme Laptop-i3 8GB 256GB (RMNB1001),"{'x': 348, 'y': 221, 'height': 56, 'width': 390}","{'x': 0, 'y': 0, 'height': 600, 'width': 785}"
4,https://www.thechennaimobiles.com/led-entertainment/tv?product_id=2974,NA,KD-43X80J IN5 - 43INCH 4K ULTRA HD (HDR) SMART TV - SONY,"{'x': 345, 'y': 358, 'height': 125, 'width': 410}","{'x': 0, 'y': 0, 'height': 3195, 'width': 785}"
5,https://www.reliancedigital.in/samsung-s22-5g-128-gb-8-gb-ram-green-smartphone/p/492849199?gclid=Cj0KCQjw6pOTBhCTARIsAHF23fItgbyWJ6TwMYwVrF_7HLP2qDDH0gqVK-VYOrN6AXKSAxL1EOhk5RAaAkVpEALw_wcB,NA,"Samsung S22 5G 128 GB, 8 GB RAM, Green, Mobile Phone","{'x': 342, 'y': 223, 'height': 43, 'width': 443}","{'x': 0, 'y': 0, 'height': 600, 'width': 785}"
6,https://bh.homevo.in/products/canon-eos-1500d-24-1-digital-slr-camera-black-with-ef-s18-55-is-ii-lens?currency=INR&variant=42005714043042&utm_medium=cpc&utm_source=google&utm_campaign=Google%20Shopping&gclid=Cj0KCQjw6pOTBhCTARIsAHF23fJMcOg0aFxVlClSmKghuzxD8RBolKstIgT24P9oNIrtb6_I1pgaRf0aAkoBEALw_wcB,NA,Canon EOS 1500D 24.1 Digital SLR Camera (Black) with EF S18-55 is II Lens,"{'x': 521, 'y': 247, 'height': 184, 'width': 224}","{'x': 0, 'y': 0, 'height': 7166, 'width': 785}"
7,https://www.bigbasket.com/pd/20001214/bb-royal-sona-masoori-raw-rice-25-kg-bag/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,NA,"BB Royal Sona Masoori Raw Rice/Akki, 25 kg (12 - 17 Months Old)","{'x': 476, 'y': 241, 'height': 50, 'width': 318}","{'x': 0, 'y': 0, 'height': 2542, 'width': 794}"
8,https://pharmeasy.in/health-care/products/selsun-shampoo-120ml-21836,NA,Selsun Shampoo 120ml,"{'x': 305, 'y': 165, 'height': 30, 'width': 180}","{'x': 0, 'y': 0, 'height': 6350, 'width': 785}"
9,https://www.medplusmart.com/product/kiddos-bpa-free-feeding-bottle-150ml_kidd0017,NA,KIDDOS BPA FREE FEEDING BOTTLE 150ML,"{'x': 310, 'y': 311, 'height': 44, 'width': 263}","{'x': 0, 'y': 0, 'height': 6305, 'width': 790}"
10,https://www.indiamart.com/proddetail/stainless-steel-utensils-for-online-selling-19987385712.html,NA,Stainless Steel Utensils For Online Selling,"{'x': 482, 'y': 108, 'height': 24, 'width': 503}","{'x': 0, 'y': 0, 'height': 1200, 'width': 785}"
11,https://www.vinodsteel.com/tiffins/vinod-stainless-steel-hot-tiffin-leak-proof-4-compartment/,NA,"Vinod Stainless Steel Hot Tiffin Leak Proof, 4 Compartment, Keeps Food hot for Hours","{'x': 23, 'y': 1040, 'height': 51, 'width': 739}","{'x': 0, 'y': 0, 'height': 3746, 'width': 785}"
12,https://www.ajio.com/koton-checked-shirt-with-spread-collar/p/469020224_blackmulti,NA,Checked Shirt with Spread Collar,"{'x': 797, 'y': 160, 'height': 23, 'width': 403}","{'x': 0, 'y': 100, 'height': 2206, 'width': 785}"
