,product_link,product_name,final_price,product_description,name_dimension,final_price_dimension,product_description_location,body_dimension
0,https://www.snapdeal.com/product/urbanmark-red-daily-slippers/671475909923,UrbanMark Red Slippers,Rs. 209,"UrbanMark
Color: Red
Upper Material: Synthetic
Slipper Type: Slippers
Sole Material: EVA
SUPC: SDL454008603","{'x': 453, 'y': 158, 'height': 27, 'width': 484}","{'x': 451, 'y': 259, 'height': 32, 'width': 79}","{'x': 55, 'y': 1907, 'height': 119, 'width': 747}","{'x': 0, 'y': 0, 'height': 6526, 'width': 1024}"
1,https://www.snapdeal.com/product/altek-tan-mens-flip-flops/619766859492,Altek - Tan Men's Flip Flops ( Pack of 1 ),Rs. 209,"Altek
Color:Tan
Sole Material:TPR
Type:Flip Flops
Upper Material:Denim
Care Instruction:Hand wash
Closure:Slip-On
Pattern:Brand Logo
Pack:Pack of 1
Shop by Occasion:Casual
SUPC: SDL430932781","{'x': 453, 'y': 158, 'height': 27, 'width': 484}","{'x': 451, 'y': 259, 'height': 32, 'width': 79}","{'x': 55, 'y': 2019, 'height': 163, 'width': 747}","{'x': 0, 'y': 0, 'height': 5650, 'width': 1024}"
2,https://www.snapdeal.com/product/urbanmark-gray/5764608165384857674,UrbanMark - Gray Men's Daily Slipper ( Pack of 1 ),Rs. 209,"UrbanMark
Color:Gray
Sole Material:EVA
Type:Daily Slipper
Upper Material:Fabric
Care Instruction:Hand wash
Closure:Slip-On
Pattern:Solid
Pack:Pack of 1
Shop by Occasion:Casual
SUPC: SDL190467046","{'x': 453, 'y': 158, 'height': 27, 'width': 484}","{'x': 451, 'y': 259, 'height': 32, 'width': 79}","{'x': 55, 'y': 1938, 'height': 163, 'width': 747}","{'x': 0, 'y': 0, 'height': 8091, 'width': 1024}"
3,https://www.snapdeal.com/product/aadi-black-daily-slippers/623804278858,Aadi Black Slides,Rs. 299,"Aadi
Color: Black
Upper Material: Synthetic
Slipper Type: Slides
Sole Material: EVA
SUPC: SDL240235789","{'x': 453, 'y': 158, 'height': 27, 'width': 484}","{'x': 451, 'y': 259, 'height': 32, 'width': 79}","{'x': 55, 'y': 1907, 'height': 119, 'width': 747}","{'x': 0, 'y': 0, 'height': 8632, 'width': 1024}"
4,https://www.snapdeal.com/product/shoerise-yellow-casual-shoes/639203797606,ShoeRise - Yellow Men's Sneakers,Rs. 539,"ShoeRise
Color:Yellow
Heel Height:Flat
Insoles:Padded
Ankle Height:Normal
Sole Material:Rubber
Type:Sneakers
Closure:Lace up
Upper Material:Mesh
Key Features:Lightweight
Pattern:Solid
Shop by Occasion:Casual
SUPC: SDL428623996","{'x': 453, 'y': 158, 'height': 27, 'width': 393}","{'x': 451, 'y': 272, 'height': 32, 'width': 78}","{'x': 55, 'y': 1850, 'height': 185, 'width': 747}","{'x': 0, 'y': 0, 'height': 8361, 'width': 1024}"
5,https://www.snapdeal.com/product/aadi-outdoor-black-casual-shoes/657472074991,Aadi Outdoor Black Casual Shoes,Rs. 499,"Aadi
Color:Black
Ankle Height:Medium height
Heel Height:Medium heel < 5.08 cm(2)
Features:Lightweight
Sole Material:PVC
Upper Material:Synthetic Leather
Shoe Type:Outdoor
SUPC: SDL716017712","{'x': 453, 'y': 158, 'height': 27, 'width': 393}","{'x': 451, 'y': 272, 'height': 32, 'width': 80}","{'x': 55, 'y': 1838, 'height': 163, 'width': 747}","{'x': 0, 'y': 0, 'height': 9171, 'width': 1024}"
6,https://www.snapdeal.com/product/big-fox-black-synthetic-leather/677798710956,Big Fox Black Flip Flops,Rs. 675,"Big Fox
Slipper Type:Flip Flops
Color:Black
Upper Material:Synthetic
Sole Material:EVA
Features:Light weight (<500gms)
SUPC: SDL544733863","{'x': 453, 'y': 158, 'height': 27, 'width': 484}","{'x': 451, 'y': 259, 'height': 32, 'width': 77}","{'x': 55, 'y': 1907, 'height': 163, 'width': 747}","{'x': 0, 'y': 0, 'height': 6104, 'width': 1024}"
7,https://www.snapdeal.com/product/asian-lifestyle-black-casual-shoes/684665745019,ASIAN Sneakers Black Casual Shoes,Rs. 499,"ASIAN
Color:Black
Heel Height:Flat
Features:Lightweight
Insoles:Padded
Upper Material:Mesh/Textile
Shoe Type:Sneakers
SUPC: SDL942280399","{'x': 453, 'y': 158, 'height': 27, 'width': 393}","{'x': 451, 'y': 272, 'height': 32, 'width': 80}","{'x': 55, 'y': 1838, 'height': 141, 'width': 747}","{'x': 0, 'y': 0, 'height': 8134, 'width': 1024}"
8,https://www.snapdeal.com/product/aletk-tan-daily-slippers/634127324254,Altek Tan Flip Flops,Rs. 219,"Altek
Color: Tan
Upper Material: Fabric
Slipper Type: Flip Flops
Sole Material: Rubber
SUPC: SDL829811002","{'x': 453, 'y': 158, 'height': 27, 'width': 484}","{'x': 451, 'y': 259, 'height': 32, 'width': 74}","{'x': 55, 'y': 1907, 'height': 119, 'width': 747}","{'x': 0, 'y': 0, 'height': 7956, 'width': 1024}"
9,https://www.snapdeal.com/product/squash-gray-daily-slippers/669559941355,Squash Gray Daily Slippers,Rs. 229,"Squash
Slipper Type:Daily Slippers
Color:Gray
Upper Material:Synthetic Leather
Sole Material:Rubber
Features:Light weight (<500gms)
SUPC: SDL192943109","{'x': 453, 'y': 158, 'height': 27, 'width': 484}","{'x': 451, 'y': 259, 'height': 32, 'width': 78}","{'x': 55, 'y': 2007, 'height': 163, 'width': 747}","{'x': 0, 'y': 0, 'height': 8080, 'width': 1024}"
